Species,project,Class,Order,K,Lm,QB,Troph,DepthMax,TempPrefMean,Generation_time,RepGuildCombined,BodyShapIII_combined,PositionWaterColumn,SwimMode,Notes
Equetus punctatus,BRUV,Actinopterygii,Perciformes,0.620000005,16.9,10,3.52,30,27.4,1.259829,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal,reef_associated,labriform,
Nicholsina usta,BRUV,Actinopterygii,Perciformes,0.660000026,18.5,18.4329697,2,73,25.7,1.20967,nonguarders,fusiform_normal,reef_associated,labriform,
Chaetodon capistratus,BRUV,Actinopterygii,Perciformes,1.179999948,10,7.2,3.31,20,27.4,0.9239398,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep_compressed,reef_associated,balistiform,
Aluterus scriptus,BRUV,Actinopterygii,Tetraodontiformes,0.100000001,58.3,12.3,2.81,120,27.4,9.260366,mixed,short_and_or_deep,reef_associated,balistiform,
Fistularia tabacaria,BRUV,Actinopterygii,Syngnathiformes,0.242239,98.8,5.1,3.69,200,23.8,4.71285448,nonguarders,elongated_flattened,reef_associated,balistiform,
Ginglymostoma cirratum,BRUV,Elasmobranchii,Orectolobiformes,0.08192,194.4,1.3,4.15,130,25.5,13.42224725,bearers_internal_live_bearers,elongated,reef_associated,carangiform,
Gymnothorax miliaris,BRUV,Actinopterygii,Anguilliformes,0.159999996,39.1,5.3,3.87,60,27,5.488984,nonguarders,eel_like,reef_associated,anguilliform,
Cephalopholis cruentata,BRUV,Actinopterygii,Perciformes,0.340000004,19.82294,8.9,4.25,170,26.4,2.351988,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal_oval,reef_associated,subcarangiform,
Hypoplectrus guttavarius,BRUV,Actinopterygii,Perciformes,0.75999999,8.8,15.6,3.81,30,27.5,1.454359,nonguarders,short_and_or_deep,reef_associated,subcarangiform,
Gymnothorax moringa,BRUV,Actinopterygii,Anguilliformes,0.059999999,98.8,2.7,4.5,200,26.5,16.49662,nonguarders_open_water_substratum_egg_scatterers,eel_like,reef_associated,anguilliform,
